id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price,
9187,Resort at Cavendish Corner,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Free Internet', 'Fitness Centre with Gym / Workout Room', 'Non-smoking rooms', 'Pool', 'Free parking']",8566 Cavendish Rd - Rte 6 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",300.0,
9188,Avonlea Cottages,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Wheelchair Access', 'Refrigerator in room', 'Outdoor pool', 'Microwave', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Shuttle Bus Service', 'Pool', 'Golf Course', 'Free parking', 'Kitchenette']",8925 Cavendish Rd - Rte 6 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",300.0,
9189,Marco Polo Inn,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Business Centre with Internet Access', 'Outdoor pool', 'Fitness Centre with Gym / Workout Room', 'Meeting rooms', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Shuttle Bus Service', 'Pool', 'Golf Course', 'Kids pool']",7406 Rte 13 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",300.0,
9190,Cavendish Corner Motel Inn,3.0,Average,[''],7600 Cawnpore Lane Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",300.0,
9191,Auberge au Poste de Traite,4.5,Excellent,"['Breakfast included', 'Restaurant', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Family Rooms', 'Meeting rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Public Wifi', 'Accessible rooms']",2287 Chemin Royal Sainte-Famille Quebec,Canada,Kimberley British Columbia,"(46.99472, -70.9219385)",107.0,
9192,Motel Ile d'Orleans,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Multilingual Staff', 'Breakfast Available', 'Shuttle Bus Service', 'Golf Course', 'Free parking', 'Public Wifi', 'Concierge']",50 Saint-Laurent-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.87818545, -70.996714053301)",300.0,
9193,Le Giron de L'Isle,5.0,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Free parking', 'Public Wifi']",12 Saint-Jean-de-l'ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.93474805, -70.8773650427273)",300.0,
9194,La Goeliche,4.0,Very good,"['Bar/Lounge', 'Restaurant', 'Non-smoking hotel', 'Air conditioning', 'Outdoor pool', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Pool', 'Golf Course', 'Free parking', 'Public Wifi']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9195,Les Ancetres,5.0,Excellent,"['Breakfast included', 'Bar/Lounge', 'Restaurant', 'Non-smoking hotel', 'Air conditioning', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Golf Course', 'Free parking', 'Public Wifi']",1101 Chemin Royal Saint Pierre d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.8808069, -71.0870836)",300.0,
9196,Gîte Au Tournant de l'Ile d'Orleans,5.0,Excellent,"['Non-smoking hotel', 'Electric vehicle charging station', 'Breakfast included', 'Accessible rooms', 'Restaurant', 'Heated pool', 'Refrigerator in room', 'Family Rooms', 'Suites', 'Multilingual Staff', 'Free parking', 'Laundry Service', 'Outdoor pool', 'Non-smoking rooms', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Room service', 'Pool', 'Public Wifi', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9197,Gite Au Toit Bleu,4.0,Very good,['Free High Speed Internet (WiFi)'], ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9198,Auberge Le P'tit Bonheur,3.5,Very good,"['Family Rooms', 'Non-smoking hotel', 'Free High Speed Internet (WiFi)', 'Free parking']",186 Cote Lafleur Saint-Jean-de-l'ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.9077815813793, -70.9353286497464)",300.0,
9199,Auberge Chaumonot,4.5,Excellent,['Air conditioning'],425 chemin Royale Saint-Francois-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",300.0,
9200,Auberge la Grange de l'Ile,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Restaurant', 'Air conditioning', 'Business Centre with Internet Access', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Free parking', 'Breakfast included']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9201,Auberge Les Blancs Moutons,3.5,Very good,"['Non-smoking hotel', 'Meeting rooms', 'Non-smoking rooms', 'Free parking', 'Breakfast included']",6827 chemin Royal Saint-Laurent-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.8782946, -70.9769329)",300.0,
9202,Gite a la Brunante,4.5,Excellent,[''],3469 chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",300.0,
9203,Le Vieux Presbytere,3.5,Very good,"['Bar/Lounge', 'Restaurant', 'Non-smoking hotel', 'Laundry Service', 'Air conditioning', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Golf Course', 'Public Wifi']",1247 av. Mgr. d'Esgly Saint Pierre d'Orleans Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",300.0,
9204,La Vieille Maison Fradet,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Free parking']",1584 Chemin Royal Saint-Laurent-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.8602332777778, -71.0088540444444)",300.0,
9205,Au Vieux Foyer,3.5,Very good,[''],2687 chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",300.0,
9206,Chalets Plage St-Jean,4.0,Very good,[''],4878 Chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",300.0,
9207,Bed and Breakfast Belle Vue,0.0,Bad,"['Non-smoking hotel', 'Laundry Service', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Airport transportation', 'Golf Course', 'Free parking']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9208,Gite La Cinquieme Saison,0.0,Bad,[''], ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9209,Gite la Coulee Douce,4.5,Excellent,[''],1669 Chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",300.0,
9210,Franklin Suite Hotel,4.5,Excellent,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Accessible rooms', 'Air conditioning', 'Refrigerator in room', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Non-smoking rooms', 'Shuttle Bus Service', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Public Wifi', 'Kitchenette']",10300 Franklin Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7310042, -111.38888455921)",300.0,
9211,Best Western Plus Sawridge Suites,5.0,Excellent,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Accessible rooms', 'Banquet Room', 'Restaurant', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Suites', 'Free parking', 'Laundry Service', 'Sauna', 'Dry Cleaning', 'Non-smoking rooms', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Hot Tub', 'Public Wifi', 'Kitchenette']",410 Taiganova Cres Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7711261, -111.4245687)",300.0,
9212,Clearwater Suite Hotel,0.0,Bad,[''],4 Haineault St Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.72305955, -111.380565753976)",143.0,
9213,Merit Hotel & Suites,0.0,Bad,[''],8200 Franklin Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7154443, -111.3494505)",127.0,
9214,Clearwater Residence Hotel Timberlea,4.0,Very good,[''],118 Millennium Dr ,Canada,Kimberley British Columbia,"(56.7557060949278, -111.463764917551)",159.0,
9215,Platinum Hotels,4.0,Very good,"['Non-smoking hotel', 'Paid Wifi', 'Laundry Service', 'Air conditioning', 'Business Centre with Internet Access', 'Refrigerator in room', 'Fitness Centre with Gym / Workout Room', 'Meeting rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Paid Internet', 'Suites', 'Microwave', 'Free parking', 'Breakfast included', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9216,River Station Suite Hotel,4.5,Excellent,"['Non-smoking hotel', 'Bar/Lounge', 'Microwave', 'Banquet Room', 'Restaurant', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Spa', 'Suites', 'Breakfast Available', 'Free parking', 'Non-smoking rooms', 'Conference Facilities', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Paid Internet', 'Public Wifi', 'Kitchenette']",29-8102 Fraser Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(55.001251, -115.002136)",300.0,
9217,Stonebridge Hotel Fort McMurray,2.5,Average,"['Pets Allowed ( Dog / Pet Friendly )', 'Bar/Lounge', 'Restaurant', 'Non-smoking hotel', 'Business Centre with Internet Access', 'Fitness Centre with Gym / Workout Room', 'Meeting rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Room service', 'Spa', 'Suites', 'Shuttle Bus Service', 'Golf Course', 'Free parking', 'Kitchenette']",9713 Hardin St Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7244901, -111.38082038256)",107.0,
9218,Microtel Inn & Suites by Wyndham Fort McMurray,4.5,Excellent,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Accessible rooms', 'Banquet Room', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Free parking', 'Laundry Service', 'Sauna', 'Non-smoking rooms', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Hot Tub', 'Public Wifi', 'Kitchenette']",317 Sakitawaw Trail Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.6825665, -111.3527455)",169.0,
9219,Super 8 by Fort McMurray,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Breakfast included', 'Self-Serve Laundry', 'Laundry Service', 'Air conditioning', 'Wheelchair Access', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Public Wifi', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9220,Radisson Hotel & Suites Fort McMurray,4.5,Excellent,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Microwave', 'Concierge', 'Banquet Room', 'Restaurant', 'Heated pool', 'Air conditioning', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Tennis Court', 'Non-smoking rooms', 'Indoor pool', 'Conference Facilities', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service', 'Hot Tub', 'Pool']",435 Gregoire Dr Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.6868434475648, -111.350110064484)",300.0,
9221,Podollan Inn & Spa,4.5,Excellent,"['Non-smoking hotel', 'Bar/Lounge', 'Microwave', 'Breakfast included', 'Banquet Room', 'Restaurant', 'Air conditioning', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Suites', 'Multilingual Staff', 'Free parking', 'Laundry Service', 'Sauna', 'Dry Cleaning', 'Non-smoking rooms', 'Conference Facilities', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Room service']",10612 99 Ave Grande Prairie Alberta,Canada,Kimberley British Columbia,"(55.1696611725865, -118.817352687477)",300.0,
9222,Nomad Hotel and Suites,3.5,Very good,"['Non-smoking hotel', 'Bar/Lounge', 'Business Centre with Internet Access', 'Smoking rooms available', 'Microwave', 'Restaurant', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Non-smoking rooms', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Golf Course', 'Kitchenette']",10006 Macdonald Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7270945, -111.38287)",300.0,
9223,Podollan Rez-idence Fort McMurray,4.5,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Wheelchair Access', 'Business Centre with Internet Access', 'Dry Cleaning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Room service', 'Suites', 'Airport transportation', 'Microwave', 'Free parking', 'Kitchenette']",10303 Franklin Avenue Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7303008, -111.389264845366)",300.0,
9224,McMurray Inn Motel,3.5,Very good,"['Refrigerator in room', 'Air conditioning']",9906 Saunderson Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7244919, -111.3821862)",300.0,
9225,Chez Dube Country Inn,5.0,Excellent,"['Non-smoking hotel', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Free parking']",10102 Fraser Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.730564, -111.3824283)",169.0,
9226,East Village Suites by LIAM,4.0,Very good,"['Restaurant', 'Non-smoking hotel', 'Paid Wifi', 'Laundry Service', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Meeting rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Paid Internet', 'Suites', 'Microwave', 'Free parking', 'Public Wifi', 'Kitchenette']",355 Loutit Roa Fort McMurray Alberta,Canada,Kimberley British Columbia,"(55.001251, -115.002136)",300.0,
9227,The Bridgeport Inn,4.0,Very good,"['Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Business Centre with Internet Access', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Free parking', 'Breakfast included']",10021 Biggs Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.72670105, -111.385670154232)",300.0,
9228,Platinum Residences,4.5,Excellent,[''],8202 Manning Avenue ,Canada,Kimberley British Columbia,"(34.032276, -118.4080344)",300.0,
9229,Ace Inn Hotel & Conference Centre,2.0,Poor,"['Breakfast included', 'Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Wheelchair Access', 'Accessible rooms', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Non-smoking rooms', 'Suites', 'Free parking', 'Public Wifi', 'Concierge', 'Kitchenette']",9913 Biggs Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7255428685098, -111.382326056725)",87.0,
9230,At Home Lodging Ltd,0.0,Bad,[''],Highway 69 ,Canada,Kimberley British Columbia,"(35.669685, -91.4257804)",300.0,
9231,400 Silin Forest,0.0,Bad,[''],138-400 Silin Forest Rd ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9232,TownePlace Suites Fort McMurray,0.0,Bad,[''],321 Sakitawaw Trail ,Canada,Kimberley British Columbia,"(56.6825665, -111.3527455)",300.0,
9233,Park Motel,0.0,Bad,[''],832 4th Ave Hope British Columbia,Canada,Kimberley British Columbia,"(49.3797231, -121.4391535)",300.0,
9234,Colonial 900 Motel,4.5,Excellent,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Public Wifi']",900 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3743562, -121.4194574)",300.0,
9235,Royal Windsor Motel,2.5,Average,"['Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Room service', 'Free parking', 'Public Wifi', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9236,Hope City Centre Motel,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Self-Serve Laundry', 'Air conditioning', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Multilingual Staff', 'Microwave', 'Free parking', 'Public Wifi', 'Concierge', 'Kitchenette']",455 Wallace Street Hope British Columbia,Canada,Kimberley British Columbia,"(49.3787674, -121.4435682)",300.0,
9237,Travelodge Hope,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Heated pool', 'Wheelchair Access', 'Pool', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Hot Tub', 'Indoor pool', 'Microwave', 'Free parking', 'Breakfast included', 'Kitchenette']",350 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3731275, -121.4118828)",300.0,
9238,Canadas Best Value Inn - Hope,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Public Wifi']",377 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3754488, -121.4362387)",300.0,
9239,Best Continental Motel,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Public Wifi']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9240,The Swiss Chalets Motel,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Restaurant', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Kitchenette']",456 Highway 1 Hope British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",300.0,
9241,Elmwood Heritage Inn,5.0,Excellent,"['Non-smoking hotel', 'Minibar', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Hot Tub', 'Suites', 'Free parking', 'Breakfast included', 'Accessible rooms']",121 North River Rd Charlottetown Prince Edward Island,Canada,Kimberley British Columbia,"(46.2360866714286, -63.1411884428571)",300.0,
9242,Alpine Motel Kamloops,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Self-Serve Laundry', 'Laundry Service', 'Air conditioning', 'Wheelchair Access', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Microwave', 'Free parking', 'Breakfast included', 'Kitchenette']",1393 Hugh Allan Dr Kamloops British Columbia,Canada,Kimberley British Columbia,"(50.651315, -120.376591)",300.0,
9243,Holiday Motel & RV Resort,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Refrigerator in room', 'Outdoor pool', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Children Activities (Kid / Family Friendly)', 'Pool', 'Free parking', 'Public Wifi', 'Kitchenette']",63950 Old Yale Rd Hope British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",300.0,
9244,Coquihalla Motel,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Microwave', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Golf Course', 'Free parking', 'Public Wifi', 'Kitchenette']",724 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.375119, -121.4247988)",300.0,
9245,Red Roof Inn Motel,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Public Wifi']",477 Fraser Avenue Hope British Columbia,Canada,Kimberley British Columbia,"(49.3782635, -121.4422531)",300.0,
9246,Lucky Strike Motel,3.5,Very good,"['Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Room service', 'Microwave', 'Free parking', 'Public Wifi', 'Kitchenette']",504 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3731275, -121.4118828)",300.0,
9247,Inn Towne Motel,3.0,Average,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Wheelchair Access', 'Accessible rooms', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Hot Tub', 'Golf Course', 'Free parking', 'Public Wifi', 'Kitchenette']", ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9248,Royal Lodge Motel,3.0,Average,"['Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Non-smoking rooms', 'Microwave', 'Free parking', 'Public Wifi']",580 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3731275, -121.4118828)",300.0,
9249,Evergreen B & B,5.0,Excellent,"['Breakfast included', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Suites', 'Multilingual Staff', 'Free parking', 'Public Wifi']",1208 Ryder St Hope British Columbia,Canada,Kimberley British Columbia,"(49.3748563, -121.4334181)",300.0,
9250,High Hopes Bed & Breakfast,4.5,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Free parking', 'Breakfast included']",21623 Thacker Mtn Rd Hope British Columbia,Canada,Kimberley British Columbia,"(49.3873417, -121.4271937)",300.0,
9251,Sunshine Valley RV Resort & Cabins,4.0,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Paid Wifi', 'Self-Serve Laundry', 'Indoor pool', 'Refrigerator in room', 'Outdoor pool', 'Fitness Centre with Gym / Workout Room', 'Meeting rooms', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Paid Internet', 'Pool', 'Microwave', 'Free parking', 'Public Wifi']",14850 Alpine Blvd Hope British Columbia,Canada,Kimberley British Columbia,"(49.2677248, -121.2376262)",300.0,
9252,Barb's Bed and Breakfast : the-3-bees,5.0,Excellent,[''],66004 Ogilview Dr ,Canada,Kimberley British Columbia,"(49.3819289, -121.4047613)",300.0,
9253,Lake of the Woods Resort/Motel,2.5,Average,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Refrigerator in room', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Children Activities (Kid / Family Friendly)', 'Free parking', 'Public Wifi', 'Kitchenette']",22805 Trans Canada Hwy Hope British Columbia,Canada,Kimberley British Columbia,"(49.3677826, -121.4525176)",77.0,
9254,Wild Rose Campground & R.V Park,3.5,Very good,['Pets Allowed ( Dog / Pet Friendly )'],Flood-Hope Road 1 Hope British Columb,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9255,Coquihalla Campground,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry']",800 Kawkawa Lake Rd Hope British Columbia,Canada,Kimberley British Columbia,"(49.3801501, -121.4264003)",300.0,
9256,Hope Valley RV Park,3.5,Very good,['Pets Allowed ( Dog / Pet Friendly )'],62280 Flood Hope Rd Hope British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",300.0,
9257,Telte Yet Campsite,3.5,Very good,[''],600 Water Ave ,Canada,Kimberley British Columbia,"(37.816849, -88.928122)",300.0,
9258,Kawkawa Lake Resort & Campground,2.5,Average,[''],66427 Kawkawa Lake Rd ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9259,Othello Tunnels Campground and RV Park,2.5,Average,"['Pets Allowed ( Dog / Pet Friendly )', 'Free parking']",67851 Othello Rd Hope British Columbia,Canada,Kimberley British Columbia,"(49.380864, -121.353806458116)",300.0,
9260,Emory Bar RV Park & Campsite,0.0,Bad,[''],28775 Trans Canada Hwy ,Canada,Kimberley British Columbia,"(49.1699962, -122.6918771)",300.0,
9261,Mount Hope Motel,0.0,Bad,[''],318 Old Hope Princeton Way ,Canada,Kimberley British Columbia,"(49.3747672, -121.4368978)",300.0,
9262,Comfort Inn & Suites Thousand Islands Harbour District,4.0,Very good,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Heated pool', 'Family Rooms', 'Fitness Centre with Gym / Workout Room', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Laundry Service', 'Sauna', 'Non-smoking rooms', 'Indoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Pool']",22 Main St Gananoque Ontario,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9263,Country Squire Resort & Spa,3.5,Very good,"['Non-smoking hotel', 'Bar/Lounge', 'Microwave', 'Breakfast included', 'Banquet Room', 'Restaurant', 'Heated pool', 'Air conditioning', 'Refrigerator in room', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Suites', 'Multilingual Staff', 'Breakfast Available', 'Free parking', 'Outdoor pool', 'Tennis Court', 'Non-smoking rooms', 'Indoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Hot Tub', 'Pool']",715 King St E Gananoque Ontario,Canada,Kimberley British Columbia,"(0.0, 0.0)",72.0,
9264,Howard Johnson by Wyndham Gananoque,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms', 'Outdoor pool', 'Microwave', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Non-smoking rooms', 'Pool', 'Golf Course', 'Free parking', 'Breakfast included']",550 King St E Gananoque Ontario,Canada,Kimberley British Columbia,"(44.334685890625, -76.154838425)",81.0,
