id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price,
9015,Universite de Sherbrooke Hotellerie,3.5,Very good,"['Restaurant', 'Non-smoking hotel', 'Self-Serve Laundry', 'Laundry Service', 'Pool', 'Refrigerator in room', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Indoor pool', 'Free parking']",2500 Boulevard de l'Universite Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3783078, -71.9284700215281)",300.0,
9016,Ile de Garde,5.0,Excellent,"['Air conditioning', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Airport transportation', 'Public Wifi', 'Free parking', 'Breakfast included']",576 rue Prospect Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.4078843, -71.8984813)",300.0,
9017,Hotel & Motel La Marquise,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Bar/Lounge', 'Non-smoking hotel', 'Air conditioning', 'Laundry Service', 'Wheelchair Access', 'Business Centre with Internet Access', 'Refrigerator in room', 'Outdoor pool', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Pool', 'Free parking', 'Breakfast included']",1700 Wellington South Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",300.0,
9018,Gite L'Antre D'Eux,5.0,Excellent,"['Breakfast included', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Spa', 'Hot Tub', 'Breakfast Available', 'Pool', 'Free parking', 'Public Wifi']",3870 Chemin Rheaume Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3434928, -72.0866946)",103.0,
9019,Motel Econo-Nuit,0.0,Bad,[''],520 rue du Parc-Industriel Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.4644679, -71.9636247)",70.0,
9020,Charmes de Provence,5.0,Excellent,"['Non-smoking hotel', 'Air conditioning', 'Free High Speed Internet (WiFi)', 'Non-smoking rooms', 'Free parking']",350 rue Quebec Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3972886, -71.8590609603101)",300.0,
9021,Les Matins d'Antoine,4.5,Excellent,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Kitchenette']",39 rue Queen Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3605715992773, -71.8580108739399)",300.0,
9022,Bishop's University,4.5,Excellent,"['Restaurant', 'Non-smoking hotel', 'Family Rooms', 'Outdoor pool', 'Fitness Centre with Gym / Workout Room', 'Tennis Court', 'Meeting rooms', 'Free High Speed Internet (WiFi)', 'Pool', 'Golf Course', 'Free parking']",Rue College Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3663242, -71.8559118)",300.0,
9023,Villa Marco Polo,4.0,Very good,[''],811 General de Montcalm ,Canada,Kimberley British Columbia,"(0.0, 0.0)",300.0,
9024,Quality Hotel & Suites,3.0,Average,"['Non-smoking hotel', 'Business Centre with Internet Access', 'Microwave', 'Breakfast included', 'Restaurant', 'Air conditioning', 'Family Rooms', 'Multilingual Staff', 'Free parking', 'Laundry Service', 'Dry Cleaning', 'Outdoor pool', 'Non-smoking rooms', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Meeting rooms', 'Pool']",4206 King Street West Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",300.0,
